Date,code,open,high,low,close,volume,news,rate,Dollar,label
2022-01-04,4502,3191.0,3219.0,3181.0,3213.0,5958100,0.0,1,115.43,0
2022-01-05,4502,3230.0,3231.0,3189.0,3199.0,5230700,0.0,1,116.23,-1
2022-01-06,4502,3192.0,3202.0,3173.0,3175.0,5142200,0.0,1,116.05,-1
2022-01-07,4502,3192.0,3212.0,3177.0,3196.0,4711800,0.0,0,116.01,1
2022-01-11,4502,3250.0,3284.0,3244.0,3275.0,7935000,0.5,0,115.34,1
2022-01-12,4502,3296.0,3350.0,3294.0,3344.0,8827300,1.0,1,115.34,1
2022-01-13,4502,3395.0,3396.0,3336.0,3363.0,6226500,0.0,0,114.68,1
2022-01-14,4502,3360.0,3360.0,3301.0,3344.0,7027200,0.0,-1,114.1,-1
2022-01-17,4502,3370.0,3389.0,3362.0,3380.0,4218600,0.0,1,114.35,1
2022-01-18,4502,3386.0,3393.0,3351.0,3362.0,3985800,0.0,0,114.57,-1
2022-01-19,4502,3331.0,3334.0,3295.0,3305.0,6008800,0.0,0,114.72,-1
2022-01-20,4502,3300.0,3348.0,3299.0,3325.0,5989200,0.0,0,114.32,1
2022-01-21,4502,3316.0,3328.0,3287.0,3323.0,5664000,0.0,1,113.85,-1
2022-01-24,4502,3329.0,3353.0,3316.0,3340.0,4972400,1.0,0,113.84,1
2022-01-25,4502,3300.0,3303.0,3251.0,3282.0,6684800,0.0,0,114.02,-1
2022-01-26,4502,3322.0,3344.0,3302.0,3308.0,5220600,0.0,-1,113.84,1
2022-01-27,4502,3322.0,3332.0,3267.0,3287.0,6646800,0.0,0,114.68,-1
2022-01-28,4502,3318.0,3339.0,3311.0,3327.0,6288900,0.0,-1,115.47,1
2022-01-31,4502,3319.0,3336.0,3285.0,3328.0,5494400,0.0,1,115.44,1
2022-02-01,4502,3322.0,3335.0,3296.0,3305.0,4013300,0.0,1,115.17,-1
2022-02-02,4502,3305.0,3332.0,3300.0,3325.0,5492400,0.0,1,114.71,1
2022-02-03,4502,3328.0,3338.0,3306.0,3325.0,4736800,0.0,1,114.47,0
2022-02-04,4502,3355.0,3398.0,3338.0,3384.0,6816400,0.0,0,115.01,1
2022-02-07,4502,3400.0,3446.0,3387.0,3443.0,6390500,1.0,1,115.28,1
2022-02-08,4502,3480.0,3506.0,3468.0,3498.0,9458300,-1.0,0,115.3,1
2022-02-09,4502,3492.0,3501.0,3472.0,3474.0,8870100,0.0,0,115.56,-1
2022-02-10,4502,3482.0,3520.0,3477.0,3520.0,6771200,1.0,1,115.63,1
2022-02-14,4502,3483.0,3504.0,3453.0,3499.0,6983000,1.0,1,115.43,-1
2022-02-15,4502,3480.0,3501.0,3478.0,3485.0,4971600,1.0,1,115.43,-1
2022-02-16,4502,3526.0,3545.0,3519.0,3535.0,5795500,0.0,0,115.7,1
2022-02-17,4502,3530.0,3544.0,3506.0,3543.0,5838800,1.0,1,115.48,1
2022-02-18,4502,3537.0,3558.0,3535.0,3536.0,4891100,0.0,1,114.96,-1
2022-02-21,4502,3501.0,3520.0,3481.0,3494.0,3708900,0.0,-1,115.08,-1
2022-02-22,4502,3481.0,3489.0,3451.0,3456.0,4544700,1.0,1,114.78,-1
2022-02-24,4502,3448.0,3479.0,3436.0,3456.0,5473100,-1.0,1,114.96,0
