Date,code,open,high,low,close,volume,news,rate,Dollar,label
2007-01-04,7974,30950,31200,29820,29960,82400,0.0,0,119.43,0
2007-01-05,7974,29800,29860,28700,28780,113700,0.0,1,118.7,-1
2007-01-09,7974,28830,28940,28460,28510,96500,0.0,1,118.82,-1
2007-01-10,7974,28660,29480,28320,29000,172600,0.0,0,119.43,1
2007-01-11,7974,29900,30800,29860,30700,177400,0.0,1,119.67,1
2007-01-12,7974,30950,31900,30950,31350,138900,0.0,0,120.67,1
2007-01-15,7974,31550,31700,31150,31550,56200,0.0,0,120.14,1
2007-01-16,7974,31850,32450,31800,32350,84800,0.0,1,120.61,1
2007-01-17,7974,32500,32550,31600,32050,113400,0.0,0,120.89,-1
2007-01-18,7974,32350,32550,32150,32150,65800,0.0,0,120.72,1
2007-01-19,7974,32150,32300,31450,31500,100900,0.0,0,121.42,-1
2007-01-22,7974,31700,32450,31450,32350,89300,0.0,0,121.37,1
2007-01-23,7974,32400,32500,32050,32250,106300,0.0,1,121.65,-1
2007-01-24,7974,32650,33050,32450,33000,118300,0.0,1,121.79,1
2007-01-25,7974,33550,33800,33150,33500,93800,0.0,1,121.03,1
2007-01-26,7974,33100,34150,32550,34050,177000,0.0,1,121.57,1
2007-01-29,7974,34450,34700,33800,34250,118800,0.0,0,121.73,1
2007-01-30,7974,34350,35050,34250,34850,123600,0.0,1,121.65,1
2007-01-31,7974,35000,35750,35000,35450,147200,0.0,1,121.73,1
2007-02-01,7974,35900,35900,34800,34950,145300,0.0,1,120.95,-1
2007-02-02,7974,35250,35500,34050,34350,153500,0.0,0,120.85,-1
2007-02-05,7974,33550,33600,32850,32950,167500,0.0,1,121.1,-1
2007-02-06,7974,32950,33750,32750,32900,131100,0.0,1,120.17,-1
2007-02-07,7974,33300,33350,32000,32450,161600,0.0,0,120.21,-1
2007-02-08,7974,32850,34200,32450,33950,136000,0.0,1,120.75,1
2007-02-09,7974,33700,33700,32800,33250,191800,0.0,0,121.31,-1
2007-02-13,7974,33250,33250,32550,32650,95600,0.0,1,121.75,-1
2007-02-14,7974,32850,33350,32400,32400,112500,0.0,1,121.31,-1
2007-02-15,7974,32700,32750,31150,31450,164800,0.0,1,120.34,-1
2007-02-16,7974,31250,32650,30600,32200,178000,0.0,0,119.59,1
2007-02-19,7974,32500,32950,32150,32350,126500,0.0,0,119.42,1
2007-02-20,7974,32450,32450,31650,31700,93100,0.0,1,119.76,-1
2007-02-21,7974,31300,32000,31200,31400,87600,0.0,0,120.34,-1
2007-02-22,7974,31750,32450,31650,32400,112200,0.0,0,121.13,1
2007-02-23,7974,33200,33900,33100,33800,156800,0.0,1,121.55,1
2007-02-26,7974,33450,33750,32800,33050,151000,0.0,0,120.94,-1
2007-02-27,7974,32700,32700,31950,32400,106800,0.0,0,120.53,-1
2007-02-28,7974,30000,31800,30000,31400,160400,0.0,1,118.42,-1
2007-03-01,7974,31750,32150,31150,31800,110600,0.0,1,118.88,1
2007-03-02,7974,31400,31600,31200,31400,53400,0.0,0,117.78,-1
2007-03-05,7974,30450,30700,29680,29740,102200,0.0,0,115.64,-1
2007-03-06,7974,30050,31350,30000,31250,132300,0.0,0,115.9,1
2007-03-07,7974,31850,31850,30750,31050,100000,0.0,1,116.82,-1
2007-03-08,7974,31100,31850,30700,31750,102700,0.0,0,115.86,1
2007-03-09,7974,32300,33200,32300,32950,236300,0.0,1,117.42,1
2007-03-12,7974,33650,33850,33600,33850,96600,0.0,1,118.19,1
2007-03-13,7974,33450,33700,33200,33300,87700,0.0,0,117.8,-1
2007-03-14,7974,32100,32950,32100,32500,113400,0.0,0,116.24,-1
2007-03-15,7974,33150,33350,32900,33150,69600,0.0,1,117.27,1
2007-03-16,7974,33300,33800,32500,33300,80900,0.0,1,117.18,1
2007-03-19,7974,33050,34000,32900,33950,81100,0.0,1,116.78,1
2007-03-20,7974,34350,34600,33900,34000,79900,0.0,0,117.88,1
2007-03-22,7974,34400,34650,33950,34150,56300,0.0,1,117.59,1
2007-03-23,7974,34300,34300,33950,34200,53200,0.0,0,118.08,1
2007-03-26,7974,34400,34450,34250,34450,50700,0.0,-1,118.02,1
2007-03-27,7974,34000,34500,33750,34400,61200,0.0,1,118.23,-1
2007-03-28,7974,34300,34500,33750,33900,64100,0.0,0,117.88,-1
2007-03-29,7974,33850,34200,33550,34050,74300,0.0,1,116.76,1
2007-03-30,7974,34200,34400,34200,34250,25700,0.0,0,118.09,1
2007-04-02,7974,34250,34450,33850,33850,35800,0.0,0,118.0,-1
2007-04-03,7974,34200,34200,33700,33850,38400,0.0,1,117.82,0
2007-04-04,7974,34150,34250,33700,33750,43400,0.0,0,118.9,-1
2007-04-05,7974,33750,34500,33200,34300,133900,0.0,0,118.73,1
2007-04-06,7974,34900,35100,34600,35100,114000,0.0,1,118.84,1
2007-04-09,7974,35350,35500,34800,35450,76500,0.0,0,119.42,1
2007-04-10,7974,35450,35900,35250,35850,78600,0.0,1,119.21,1
2007-04-11,7974,36250,37100,36100,37000,110500,0.0,0,119.28,1
2007-04-12,7974,36750,37000,36500,37000,73800,0.0,0,119.39,0
2007-04-13,7974,37250,37400,36200,36450,90000,0.0,0,118.98,-1
2007-04-16,7974,36800,37400,36750,37300,93200,0.0,-1,119.23,1
