Date,code,open,high,low,close,volume,news,rate,Dollar,label
2007-01-04,8031,1768.0,1771.0,1742.0,1747.0,4173000,0.0,1,119.43,0
2007-01-05,8031,1680.0,1709.0,1676.0,1690.0,10204000,0.0,0,118.7,-1
2007-01-09,8031,1700.0,1704.0,1684.0,1698.0,6940000,0.0,1,118.82,1
2007-01-10,8031,1700.0,1705.0,1660.0,1672.0,6354000,0.0,1,119.43,-1
2007-01-11,8031,1697.0,1697.0,1666.0,1671.0,4622000,0.0,0,119.67,-1
2007-01-12,8031,1695.0,1704.0,1681.0,1693.0,5572000,0.0,1,120.67,1
2007-01-15,8031,1692.0,1702.0,1685.0,1691.0,5250000,0.0,0,120.14,-1
2007-01-16,8031,1700.0,1715.0,1696.0,1707.0,4940000,0.0,0,120.61,1
2007-01-17,8031,1704.0,1704.0,1678.0,1697.0,5090000,0.0,1,120.89,-1
2007-01-18,8031,1710.0,1766.0,1707.0,1754.0,9717000,0.0,0,120.72,1
2007-01-19,8031,1755.0,1771.0,1751.0,1765.0,6989000,0.0,0,121.42,1
2007-01-22,8031,1795.0,1814.0,1787.0,1798.0,9202000,0.0,0,121.37,1
2007-01-23,8031,1798.0,1838.0,1788.0,1829.0,8833000,0.0,0,121.65,1
2007-01-24,8031,1850.0,1889.0,1848.0,1876.0,15137000,0.0,1,121.79,1
2007-01-25,8031,1900.0,1911.0,1890.0,1900.0,14574000,0.0,1,121.03,1
2007-01-26,8031,1873.0,1897.0,1865.0,1888.0,10598000,0.0,1,121.57,-1
2007-01-29,8031,1881.0,1937.0,1876.0,1936.0,9922000,0.0,1,121.73,1
2007-01-30,8031,1944.0,1950.0,1914.0,1927.0,10091000,0.0,0,121.65,-1
2007-01-31,8031,1945.0,1956.0,1910.0,1928.0,13141000,0.0,1,121.73,1
2007-02-01,8031,1929.0,1952.0,1912.0,1948.0,11277000,0.0,1,120.95,1
2007-02-02,8031,1939.0,1961.0,1923.0,1946.0,8574000,0.0,1,120.85,-1
2007-02-05,8031,1916.0,1921.0,1887.0,1890.0,7977000,0.0,0,121.1,-1
2007-02-06,8031,1917.0,1952.0,1909.0,1946.0,8393000,0.0,1,120.17,1
2007-02-07,8031,1946.0,1957.0,1921.0,1951.0,7866000,0.0,1,120.21,1
2007-02-08,8031,1949.0,1952.0,1888.0,1903.0,7901000,0.0,0,120.75,-1
2007-02-09,8031,1912.0,1976.0,1912.0,1964.0,8455000,0.0,1,121.31,1
2007-02-13,8031,1980.0,2080.0,1975.0,2070.0,13987000,0.0,0,121.75,1
2007-02-14,8031,2070.0,2115.0,2045.0,2090.0,12819000,0.0,1,121.31,1
2007-02-15,8031,2130.0,2130.0,2050.0,2090.0,10503000,0.0,1,120.34,0
2007-02-16,8031,2050.0,2075.0,2015.0,2035.0,7367000,0.0,1,119.59,-1
2007-02-19,8031,2030.0,2075.0,2020.0,2065.0,4388000,0.0,0,119.42,1
2007-02-20,8031,2090.0,2115.0,2050.0,2115.0,7085000,0.0,0,119.76,1
2007-02-21,8031,2100.0,2150.0,2100.0,2110.0,6739000,0.0,1,120.34,-1
2007-02-22,8031,2140.0,2180.0,2130.0,2175.0,8660000,0.0,0,121.13,1
2007-02-23,8031,2185.0,2265.0,2175.0,2235.0,11723000,0.0,0,121.55,1
2007-02-26,8031,2250.0,2325.0,2250.0,2315.0,10598000,0.0,1,120.94,1
2007-02-27,8031,2315.0,2320.0,2205.0,2215.0,12985000,0.0,0,120.53,-1
2007-02-28,8031,1945.0,2145.0,1945.0,2130.0,20824000,0.0,0,118.42,-1
2007-03-01,8031,2130.0,2150.0,2080.0,2135.0,16656000,0.0,1,118.88,1
2007-03-02,8031,2130.0,2135.0,2070.0,2085.0,10948000,0.0,1,117.78,-1
2007-03-05,8031,2020.0,2030.0,1951.0,1979.0,14825000,0.0,0,115.64,-1
2007-03-06,8031,1986.0,2085.0,1986.0,2070.0,15080000,0.0,0,115.9,1
2007-03-07,8031,2150.0,2150.0,2070.0,2085.0,11769000,0.0,0,116.82,1
2007-03-08,8031,2075.0,2155.0,2065.0,2155.0,12678000,0.0,1,115.86,1
2007-03-09,8031,2155.0,2160.0,2105.0,2135.0,16868000,0.0,0,117.42,-1
2007-03-12,8031,2190.0,2210.0,2165.0,2205.0,9447000,0.0,1,118.19,1
2007-03-13,8031,2205.0,2205.0,2160.0,2170.0,6666000,0.0,1,117.8,-1
2007-03-14,8031,2100.0,2125.0,2045.0,2080.0,11042000,0.0,0,116.24,-1
2007-03-15,8031,2100.0,2140.0,2090.0,2120.0,8567000,0.0,0,117.27,1
2007-03-16,8031,2105.0,2135.0,2055.0,2080.0,7633000,0.0,1,117.18,-1
2007-03-19,8031,2075.0,2125.0,2070.0,2125.0,4784000,0.0,1,116.78,1
2007-03-20,8031,2135.0,2140.0,2110.0,2120.0,4573000,0.0,1,117.88,-1
2007-03-22,8031,2165.0,2190.0,2145.0,2190.0,9163000,0.0,0,117.59,1
2007-03-23,8031,2210.0,2230.0,2175.0,2190.0,7864000,0.0,1,118.08,0
2007-03-26,8031,2200.0,2200.0,2165.0,2175.0,3639000,0.0,0,118.02,-1
2007-03-27,8031,2150.0,2230.0,2140.0,2190.0,8966000,0.0,-1,118.23,1
2007-03-28,8031,2205.0,2230.0,2165.0,2185.0,6685000,0.0,1,117.88,-1
2007-03-29,8031,2180.0,2225.0,2150.0,2220.0,7730000,0.0,0,116.76,1
2007-03-30,8031,2230.0,2240.0,2200.0,2200.0,6144000,0.0,1,118.09,-1
2007-04-02,8031,2210.0,2225.0,2105.0,2105.0,6335000,0.0,0,118.0,-1
2007-04-03,8031,2170.0,2185.0,2145.0,2175.0,8832000,0.0,0,117.82,1
2007-04-04,8031,2195.0,2200.0,2160.0,2195.0,8332000,0.0,1,118.9,1
2007-04-05,8031,2175.0,2180.0,2125.0,2140.0,7842000,0.0,0,118.73,-1
2007-04-06,8031,2135.0,2135.0,2105.0,2120.0,3355000,0.0,0,118.84,-1
2007-04-09,8031,2125.0,2150.0,2105.0,2130.0,3833000,0.0,1,119.42,1
2007-04-10,8031,2110.0,2150.0,2105.0,2120.0,5658000,0.0,0,119.21,-1
2007-04-11,8031,2135.0,2140.0,2110.0,2120.0,6725000,0.0,1,119.28,0
2007-04-12,8031,2090.0,2095.0,2065.0,2090.0,7751000,0.0,0,119.39,-1
2007-04-13,8031,2105.0,2105.0,2030.0,2040.0,7611000,0.0,0,118.98,-1
2007-04-16,8031,2040.0,2085.0,2035.0,2080.0,6068000,0.0,0,119.23,1
